,userid,class,gender,start_date,end_date,event_type,is_deleted
0,OA832399,C01,F,2015-05-01 0:00,,CA1,0
1,PL270116,C01,M,2015-05-01 0:00,,CA1,0
2,OA974876,C01,M,2015-05-01 0:00,,CA1,0
3,HD024127,C01,F,2015-05-01 0:00,,CA1,-1
4,HD661448,C03,F,2015-05-01 0:00,,CA1,-1
5,IK271057,C01,M,2015-05-01 0:00,,CA1,0
6,HI324666,C01,M,2015-05-01 0:00,,CA1,-1
7,AS647421,C01,F,2015-05-01 0:00,,CA1,0
8,AS069821,C03,F,2015-05-01 0:00,,CA1,-1
9,GD039425,C01,F,2015-05-01 0:00,,CA1,0
10,OA789036,C02,F,2015-05-01 0:00,,CA1,0
11,AS058623,C01,F,2015-05-01 0:00,,CA1,0
12,AS857207,C02,F,2015-05-01 0:00,,CA1,0
13,AS625883,C02,F,2015-05-01 0:00,,CA1,0
14,HD782984,C02,F,2015-05-01 0:00,,CA1,0
15,HI804186,C02,F,2015-05-01 0:00,,CA1,0
16,AS732240,C02,F,2015-05-01 0:00,,CA1,-1
17,PL834411,C03,F,2015-05-01 0:00,,CA1,0
18,HD516059,C03,M,2015-05-01 0:00,,CA1,-1
19,HD194702,C02,F,2015-05-01 0:00,,CA1,0
20,IK102369,C01,M,2015-05-01 0:00,,CA1,0
21,AS183155,C03,F,2015-05-01 0:00,,CA1,0
22,HI339146,C01,F,2015-05-01 0:00,,CA1,0
23,AS476267,C02,F,2015-05-01 0:00,,CA1,0
24,PL928545,C02,F,2015-05-01 0:00,,CA1,-1
25,OA372777,C03,M,2015-05-01 0:00,,CA1,-1
26,PL765022,C01,M,2015-05-01 0:00,,CA1,0
27,OA803393,C01,M,2015-05-01 0:00,,CA1,-1
28,OA071756,C01,M,2015-05-01 0:00,,CA1,0
29,HI598974,C03,M,2015-05-01 0:00,,CA1,0
30,GD214739,C01,M,2015-05-01 0:00,,CA1,0
31,OA557824,C02,F,2015-05-01 0:00,,CA1,-1
32,IK098074,C01,F,2015-05-01 0:00,,CA1,0
33,HD792156,C01,F,2015-05-01 0:00,,CA1,0
34,OA478509,C02,M,2015-05-01 0:00,,CA1,-1
35,HI388582,C02,F,2015-05-01 0:00,,CA1,0
36,TS210661,C01,M,2015-05-01 0:00,,CA1,-1
37,TS837282,C01,F,2015-05-01 0:00,,CA1,0
38,OA758157,C01,M,2015-05-01 0:00,,CA1,0
39,OA790739,C01,M,2015-05-01 0:00,,CA1,-1
40,AS734592,C02,F,2015-05-01 0:00,,CA1,0
41,GD022268,C02,M,2015-05-01 0:00,,CA1,0
42,IK059803,C02,F,2015-05-01 0:00,,CA1,-1
43,TS487207,C01,M,2015-05-01 0:00,,CA1,0
44,OA994859,C01,F,2015-05-01 0:00,,CA1,0
45,PL221419,C02,M,2015-05-01 0:00,,CA1,0
46,HI570349,C01,F,2015-05-01 0:00,,CA1,-1
47,TS945284,C03,M,2015-05-01 0:00,,CA1,0
48,PL152568,C03,F,2015-05-01 0:00,,CA1,-1
49,GD967749,C01,F,2015-05-01 0:00,,CA1,0
50,HI635742,C02,F,2015-05-01 0:00,,CA1,-1
51,AS970810,C03,F,2015-05-01 0:00,,CA1,0
52,GD163149,C03,M,2015-05-01 0:00,,CA1,-1
53,HD124700,C01,M,2015-05-01 0:00,,CA1,0
54,HD349501,C01,F,2015-05-01 0:00,,CA1,-1
55,GD126553,C01,M,2015-05-01 0:00,,CA1,0
56,AS926104,C03,F,2015-05-01 0:00,,CA1,0
57,GD360440,C03,M,2015-05-01 0:00,,CA1,0
58,IK701555,C02,F,2015-05-01 0:00,,CA1,-1
59,AS777651,C01,M,2015-05-01 0:00,,CA1,0
60,PL241896,C03,F,2015-05-01 0:00,,CA1,-1
61,PL920046,C02,F,2015-05-01 0:00,,CA1,0
62,PL367795,C01,F,2015-06-01 0:00,,CA1,0
63,HI324110,C01,M,2015-06-01 0:00,,CA1,0
64,OA630902,C03,M,2015-06-01 0:00,,CA1,0
65,GD292781,C02,F,2015-06-01 0:00,,CA1,-1
66,PL912172,C03,M,2015-06-01 0:00,,CA1,-1
67,HI582217,C01,M,2015-06-01 0:00,,CA1,0
68,TS038130,C03,M,2015-06-01 0:00,,CA1,0
69,TS200932,C01,F,2015-06-01 0:00,,CA1,0
70,GD728611,C02,F,2015-06-01 0:00,,CA1,0
71,HI525851,C03,M,2015-06-01 0:00,,CA1,0
72,PL540895,C03,M,2015-06-01 0:00,,CA1,-1
73,PL410964,C01,M,2015-06-01 0:00,,CA1,0
74,HI728364,C01,M,2015-06-01 0:00,,CA1,-1
75,HI373547,C01,F,2015-06-01 0:00,,CA1,0
76,GD489678,C01,M,2015-06-01 0:00,,CA1,0
77,OA504016,C03,M,2015-06-01 0:00,,CA1,0
78,IK124414,C03,M,2015-06-01 0:00,,CA1,0
79,IK351897,C02,M,2015-06-01 0:00,,CA1,0
80,TS273269,C03,M,2015-06-01 0:00,,CA1,-1
81,IK055692,C01,M,2015-06-01 0:00,,CA1,-1
82,TS035920,C01,M,2015-06-01 0:00,,CA1,0
83,GD555235,C03,F,2015-06-01 0:00,,CA1,0
84,AS099984,C01,F,2015-06-01 0:00,,CA1,0
85,TS471939,C01,M,2015-06-01 0:00,,CA1,0
86,OA931227,C02,F,2015-06-01 0:00,,CA1,-1
87,HD455858,C03,M,2015-06-01 0:00,,CA1,0
88,PL487301,C01,M,2015-06-01 0:00,,CA1,0
89,GD813654,C03,M,2015-06-01 0:00,,CA1,0
90,HD378274,C03,M,2015-06-01 0:00,,CA1,0
91,OA236156,C01,F,2015-06-01 0:00,,CA1,-1
92,PL889178,C02,F,2015-06-01 0:00,,CA1,0
93,OA776086,C03,F,2015-06-01 0:00,,CA1,0
94,AS677821,C01,M,2015-06-01 0:00,,CA1,-1
95,OA818666,C02,F,2015-06-01 0:00,,CA1,0
96,PL342449,C02,F,2015-06-01 0:00,,CA1,0
97,PL825454,C01,M,2015-06-01 0:00,,CA1,0
98,TS437647,C02,M,2015-06-01 0:00,,CA1,0
99,HI146430,C01,M,2015-06-01 0:00,,CA1,-1
100,GD437531,C01,M,2015-06-01 0:00,,CA1,-1
101,OA103624,C01,M,2015-06-01 0:00,,CA1,0
102,OA933190,C01,M,2015-06-01 0:00,,CA1,0
103,IK624416,C03,F,2015-06-01 0:00,,CA1,0
104,GD212992,C03,F,2015-06-01 0:00,,CA1,-1
105,IK999272,C01,M,2015-06-01 0:00,,CA1,0
106,GD163914,C01,F,2015-06-01 0:00,,CA1,0
107,PL400479,C03,F,2015-06-01 0:00,,CA1,0
108,PL942936,C01,M,2015-06-01 0:00,,CA1,0
109,IK006139,C01,M,2015-06-01 0:00,,CA1,-1
110,IK902787,C01,F,2015-06-01 0:00,,CA1,0
111,PL815569,C02,F,2015-06-01 0:00,,CA1,0
112,HI216184,C01,M,2015-06-01 0:00,,CA1,0
113,HI965956,C01,M,2015-06-01 0:00,,CA1,-1
114,OA225076,C01,M,2015-06-01 0:00,,CA1,0
115,TS106731,C03,M,2015-06-01 0:00,,CA1,0
116,HI228454,C02,F,2015-06-01 0:00,,CA1,0
117,HI900494,C03,M,2015-06-01 0:00,,CA1,0
118,PL456313,C01,F,2015-06-01 0:00,,CA1,0
119,PL779242,C01,F,2015-06-01 0:00,,CA1,0
120,TS959961,C03,F,2015-06-01 0:00,,CA1,0
121,AS099118,C01,M,2015-06-01 0:00,,CA1,0
122,IK331136,C02,F,2015-06-01 0:00,,CA1,0
123,AS834706,C01,M,2015-06-01 0:00,,CA1,0
124,TS179365,C03,M,2015-06-01 0:00,,CA1,0
125,AS614421,C01,M,2015-06-01 0:00,,CA1,0
126,OA747936,C01,M,2015-06-01 0:00,,CA1,-1
127,PL494564,C03,M,2015-06-01 0:00,,CA1,0
128,AS299544,C01,M,2015-06-01 0:00,,CA1,0
129,OA261861,C02,M,2015-06-01 0:00,,CA1,-1
130,HD120698,C01,F,2015-06-01 0:00,,CA1,0
131,HI328204,C02,F,2015-07-01 0:00,,CA1,0
132,IK695797,C02,M,2015-07-01 0:00,,CA1,0
133,HI778223,C03,M,2015-07-01 0:00,,CA1,0
134,GD235669,C01,F,2015-07-01 0:00,,CA1,-1
135,AS637476,C02,F,2015-07-01 0:00,,CA1,0
136,AS171994,C03,M,2015-07-01 0:00,,CA1,0
137,PL245159,C02,F,2015-07-01 0:00,,CA1,0
138,GD470986,C03,M,2015-07-01 0:00,,CA1,0
139,HD287652,C03,M,2015-07-01 0:00,,CA1,0
140,AS933597,C01,M,2015-07-01 0:00,,CA1,0
141,PL787344,C02,F,2015-07-01 0:00,,CA1,0
142,IK313475,C03,M,2015-07-01 0:00,,CA1,0
143,OA986961,C01,F,2015-07-01 0:00,,CA1,0
144,OA266742,C02,M,2015-07-01 0:00,,CA1,0
145,IK461411,C02,F,2015-07-01 0:00,,CA1,0
146,TS244750,C01,F,2015-07-01 0:00,,CA1,0
147,OA753193,C01,M,2015-07-01 0:00,,CA1,0
148,GD084870,C01,M,2015-07-01 0:00,,CA1,0
